"";"dates";"orders";"avg_price";"revenue"
"1";ago 2016;93;35,0322580645161;1086
"2";set 2016;930;350,322580645161;10860
"3";out 2016;961;362;11222
"4";nov 2016;930;350,322580645161;10860
"5";dez 2016;961;362;11222
"6";jan 2017;540,5;2184,89265539623;39729,81
"7";fev 2017;839;2771,2264021716;85337,62
"8";mar 2017;1288;3235,25286959859;142272,45
"9";abr 2017;1107;3019,33825953594;117442,79
"10";mai 2017;1779;3253,85471077931;188817,48
"11";jun 2017;1600;2980,02669151027;160938,03
"12";jul 2017;1958;3227,64184255596;203330,55
"13";ago 2017;2247;3254,10080601495;235226,25
"14";set 2017;2103;3056,80968413894;213712,21
"15";out 2017;2409;3136,35669706234;241208,21
"16";nov 2017;3302;3183,16883929167;347203,59
"17";dez 2017;2807;2973,02593611616;272969,11
"18";jan 2018;3515;3301,36350133856;372469,98
"19";fev 2018;3601;2912,81018009188;374133,26
"20";mar 2018;3716;3301,00796938953;394641,34
"21";abr 2018;3868;3373,75078903078;434156,32
"22";mai 2018;3772;3456,99006963491;406704,12
"23";jun 2018;3754;3274,37056997248;408405,29
"24";jul 2018;3845;3542,05236556376;439908,63
"25";ago 2018;4253;2993,75135882008;423804,38
