product_id;category
PR000001;perfumaria
PR000002;artes
PR000003;esporte_lazer
PR000004;bebes
PR000005;utilidades_domesticas
PR000006;instrumentos_musicais
PR000007;cool_stuff
PR000008;moveis_decoracao
PR000009;eletrodomesticos
PR000010;brinquedos
PR000011;cama_mesa_banho
PR000012;bebes
PR000013;instrumentos_musicais
PR000014;moveis_decoracao
PR000015;construcao_ferramentas_seguranca
PR000016;esporte_lazer
PR000017;perfumaria
PR000018;informatica_acessorios
PR000019;moveis_decoracao
PR000020;cama_mesa_banho
PR000021;moveis_decoracao
PR000022;cama_mesa_banho
PR000023;beleza_saude
PR000024;bebes
PR000025;moveis_decoracao
PR000026;utilidades_domesticas
PR000027;malas_acessorios
PR000028;informatica_acessorios
PR000029;informatica_acessorios
PR000030;esporte_lazer
PR000031;cama_mesa_banho
PR000032;ferramentas_jardim
PR000033;moveis_decoracao
PR000034;moveis_escritorio
PR000035;esporte_lazer
PR000036;bebes
PR000037;automotivo
PR000038;eletronicos
PR000039;utilidades_domesticas
PR000040;moveis_decoracao
PR000041;moveis_decoracao
PR000042;brinquedos
PR000043;cama_mesa_banho
PR000044;bebes
PR000045;cool_stuff
PR000046;brinquedos
PR000047;cool_stuff
PR000048;moveis_decoracao
PR000049;moveis_decoracao
PR000050;beleza_saude
PR000051;esporte_lazer
PR000052;cool_stuff
PR000053;automotivo
PR000054;bebes
PR000055;malas_acessorios
PR000056;fashion_calcados
PR000057;telefonia
PR000058;cool_stuff
PR000059;papelaria
PR000060;brinquedos
PR000061;esporte_lazer
PR000062;papelaria
PR000063;beleza_saude
PR000064;fashion_bolsas_e_acessorios
PR000065;papelaria
PR000066;papelaria
PR000067;esporte_lazer
PR000068;ferramentas_jardim
PR000069;pcs
PR000070;automotivo
PR000071;casa_construcao
PR000072;relogios_presentes
PR000073;cool_stuff
PR000074;construcao_ferramentas_construcao
PR000075;pet_shop
PR000076;beleza_saude
PR000077;eletroportateis
PR000078;perfumaria
PR000079;relogios_presentes
PR000080;agro_industria_e_comercio
PR000081;beleza_saude
PR000082;beleza_saude
PR000083;cama_mesa_banho
PR000084;ferramentas_jardim
PR000085;perfumaria
PR000086;instrumentos_musicais
PR000087;cama_mesa_banho
PR000088;cama_mesa_banho
PR000089;moveis_decoracao
PR000090;informatica_acessorios
PR000091;esporte_lazer
PR000092;beleza_saude
PR000093;beleza_saude
PR000094;esporte_lazer
PR000095;telefonia
PR000096;moveis_decoracao
PR000097;automotivo
PR000098;automotivo
PR000099;relogios_presentes
PR000100;cama_mesa_banho
PR000101;moveis_decoracao
PR000102;informatica_acessorios
PR000103;relogios_presentes
PR000104;moveis_decoracao
PR000105;bebes
PR000106;NA
PR000107;esporte_lazer
PR000108;cama_mesa_banho
PR000109;eletroportateis
PR000110;utilidades_domesticas
PR000111;moveis_sala
PR000112;esporte_lazer
PR000113;casa_construcao
PR000114;pet_shop
PR000115;utilidades_domesticas
PR000116;moveis_decoracao
